X,Y,Data,Ora,Luogo_corr,INCIDENTE,lon,lat
13.323278,38.151703,01/01/2017,05:00,VIA NENNI PIETRO intersezione con VIA NUOVA,F,13.323278000000000,38.151702999999998
13.366432,38.166403,01/01/2017,06:00,LUNGOMARE COLOMBO CRISTOFORO intersezione con VIALE PRINCIPESSA MARIA,F,13.366432000000000,38.166403000000003
13.396154,38.102172,01/01/2017,06:30,VIA MESSINA MARINE altezza del civico 411,C,13.396153999999999,38.102172000000003
13.324714,38.165695,01/01/2017,13:30,VIA FLORIO intersezione VIA PRESTISIMONE PASQUALE,F,13.324714000000000,38.165694999999999
13.327956,38.169973,01/01/2017,17:30,VIALE DUCA DEGLI ABRUZZI nr. 8,F,13.327956000000000,38.169972999999999
13.329012,38.11938,02/01/2017,08:30,VIALE REGIONE SICILIANA altezza del civico 1407,F,13.329012000000001,38.119380000000000
13.319086,38.109997,02/01/2017,12:40,VIA PITRE' GIUSEPPE altezza del civico 250,F,13.319086000000000,38.109997000000000
13.348666,38.098829,02/01/2017,12:25,VIA ARTALE VITO GEN. intersezione con VIA VITALI VINCENZO,R,13.348666000000000,38.098829000000002
13.417298,38.097448,02/01/2017,15:00,VIA MESSINA MARINE nr. 683,F,13.417298000000001,38.097448000000000
13.310552,38.159768,01/01/2017,04:00,VIALE REGIONE SICILIANA N.O. altezza del civico 7030,F,13.310551999999999,38.159768000000000
13.346259,38.142745,02/01/2017,19:45,VIA LA MARMORA ALESSANDRO intersezione con VIA MARCHESE DI ROCCAFORTE,R,13.346259000000000,38.142744999999998
13.412225,38.097989,03/01/2017,08:00,VIA MESSINA MARINE intersezione con VIA PALUMBO PIETRO,F,13.412224999999999,38.097988999999998
13.304734,38.171708,03/01/2017,11:30,VIA S.LORENZO di fronte al civico 291,F,13.304734000000000,38.171708000000002
13.358216,38.139562,02/01/2017,04:00,VIA MONTEPELLEGRINO intersezione con VIA DEI CANTIERI,F,13.358216000000001,38.139561999999998
13.412225,38.097989,03/01/2017,13:40,VIA MESSINA MARINE intersezione con VIA ADORNO MARIO,F,13.412224999999999,38.097988999999998
13.322305,38.151742,03/01/2017,23:40,VIALE REGIONE SICILIANA N.O. carr. laterale DIR.TP ROT LAZI,C,13.322305000000000,38.151741999999999
13.340392,38.13711,03/01/2017,15:50,VIA SCIUTI GIUSEPPE intersezione con VIALE DELLE MAGNOLIE,C,13.340392000000000,38.137110000000000
13.322305,38.151742,03/01/2017,15:35,VIALE REGIONE SICILIANA N.O. intersezione con VIA SARDEGNA,F,13.322305000000000,38.151741999999999
13.337332,38.132737,04/01/2017,09:30,VIA PRINCIPE DI PALAGONIA altezza del civico 77,F,13.337332000000000,38.132736999999999
13.369537,38.11229,04/01/2017,09:00,VIA LINCOLN altezza del civico 121,F,13.369536999999999,38.112290000000002
